gloss,instances,,,,,,,,,,
book,bbox,fps,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id,video_id
,"385, 37, 885, 720",25,-1,1,0,118,aslbrick,train,http://aslbricks.org/New/ASL-Videos/book.mp4,0,69241
,"190, 25, 489, 370",25,-1,1,1,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,0,65225
,"262, 1, 652, 480",25,-1,1,2,110,valencia-asl,train,https://www.youtube.com/watch?v=0UsjUE-TXns,0,68011
,"123, 19, 516, 358",25,60,1,3,113,lillybauer,train,https://www.youtube.com/watch?v=1QOYOZ3g-aY,0,68208
,"95, 0, 1180, 720",25,-1,1,4,109,valencia-asl,train,https://www.youtube.com/watch?v=aGtIHKEdCds,0,68012
,"110, 25, 274, 240",25,2249,2150,5,121,northtexas,val,https://www.youtube.com/watch?v=hjS0dQDgbjo,0,70212
,"153, 38, 395, 360",25,3852,3732,6,121,northtexas,train,https://www.youtube.com/watch?v=WGfiiDgrq1I,0,70266
,"16, 2, 235, 240",25,-1,1,7,49,aslpro,train,http://www.aslpro.com/main/b/book_english_grammar.swf,0,7085
,"16, 4, 239, 240",25,-1,1,8,49,aslpro,train,http://www.aslpro.com/main/b/book_geography.swf,0,7086
,"8, 1, 253, 240",25,-1,1,9,18,aslpro,train,http://www.aslpro.com/main/b/book_geometry.swf,0,7087
,"462, 44, 949, 720",25,-1,1,10,31,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,0,7069
,"29, 4, 227, 240",25,-1,1,11,18,aslpro,train,http://www.aslpro.com/main/b/book_history.swf,0,7088
,"22, 0, 226, 240",25,-1,1,12,18,aslpro,train,http://www.aslpro.com/main/b/book_law.swf,0,7089
,"34, 2, 229, 240",25,-1,1,13,18,aslpro,train,http://www.aslpro.com/main/b/book_literature.swf,0,7090
,"23, 1, 226, 240",25,-1,1,14,18,aslpro,train,http://www.aslpro.com/main/b/book_math.swf,0,7091
,"31, 4, 220, 240",25,-1,1,15,49,aslpro,test,http://www.aslpro.com/main/b/book_medicine.swf,0,7092
,"25, 0, 220, 240",25,-1,1,16,18,aslpro,test,http://www.aslpro.com/main/b/book_music.swf,0,7093
,"234, 17, 524, 414",25,-1,1,17,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,0,7068
,"22, 2, 231, 240",25,-1,1,18,18,aslpro,val,http://www.aslpro.com/main/b/book_photography.swf,0,7094
,"3, 2, 260, 240",25,-1,1,19,18,aslpro,test,http://www.aslpro.com/main/b/book_science.swf,0,7095
,"21, 2, 228, 240",25,-1,1,20,18,aslpro,val,http://www.aslpro.com/main/b/book_spelling.swf,0,7096
,"26, 3, 226, 240",25,-1,1,21,49,aslpro,train,http://www.aslpro.com/main/b/book.swf,0,7097
,"131, 26, 526, 480",25,-1,1,22,59,asldeafined,train,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,0,7070
,"21, 3, 231, 240",25,-1,1,23,18,aslpro,val,http://www.aslpro.com/main/b/book_trigonometry.swf,0,7098
,"162, 54, 528, 400",25,-1,1,24,12,aslsearch,val,http://www.aslsearch.com/signs/videos/book.mp4,0,7099
,"70, 0, 268, 240",25,-1,1,25,14,handspeak,train,https://www.handspeak.com/word/b/book2.mp4,0,7071
,"75, 0, 270, 240",25,-1,1,26,14,handspeak,test,https://www.handspeak.com/word/b/book.mp4,0,7072
,"64, 0, 273, 240",25,-1,1,27,14,handspeak,train,https://www.handspeak.com/word/b/books-pile.mp4,0,7073
,"128, 20, 383, 360",25,-1,1,28,109,asllex,train,https://youtu.be/3-GrhsVs830,0,67424
,"82, 11, 212, 192",25,-1,1,29,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,0,7074
,"386, 48, 942, 720",25,-1,1,30,5,aslu,train,https://www.youtube.com/watch?v=Kwvw-K6GYW8,0,7075
,"362, 43, 945, 720",25,-1,1,31,5,aslu,train,https://www.youtube.com/watch?v=XjWSfh50kAU,0,7076
,"25, 4, 223, 240",25,-1,1,32,49,aslpro,train,http://www.aslpro.com/main/b/book_accounting.swf,0,7077
,"28, 4, 226, 240",25,-1,1,33,18,aslpro,train,http://www.aslpro.com/main/b/book_algebra.swf,0,7078
,"15, 2, 238, 240",25,-1,1,34,49,aslpro,train,http://www.aslpro.com/main/b/book_anatomy.swf,0,7079
,"28, 2, 226, 240",25,-1,1,35,18,aslpro,train,http://www.aslpro.com/main/b/book_art_history.swf,0,7080
,"23, 2, 226, 240",25,-1,1,36,18,aslpro,train,http://www.aslpro.com/main/b/book_art.swf,0,7081
,"30, 3, 228, 240",25,-1,1,37,18,aslpro,train,http://www.aslpro.com/main/b/book_business.swf,0,7082
,"0, 3, 260, 240",25,-1,1,38,18,aslpro,val,http://www.aslpro.com/main/b/book_chemistry.swf,0,7083
,"29, 4, 225, 240",25,-1,1,39,18,aslpro,train,http://www.aslpro.com/main/b/book_coloring.swf,0,7084
drink,bbox,fps,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id,video_id
,"551, 68, 1350, 1080",25,-1,1,0,115,aslbrick,val,http://aslbricks.org/New/ASL-Videos/drink.mp4,0,69302
,"153, 11, 488, 370",25,-1,1,1,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4,0,65539
,"142, 20, 501, 480",25,5831,5710,2,121,northtexas,val,https://www.youtube.com/watch?v=F5Wef1_PtLk,0,70173
,"112, 13, 529, 356",25,71,1,3,113,lillybauer,val,https://www.youtube.com/watch?v=HZMTQJdBZ9g,0,68538
